FST,DPS,DISTANCE,DEPTH_F,HLI_F,CTI_F,DEPTH_T,HLI_T,CTI_T,hli,cti,dd5,err27,rsp,ridge,hab_ratio
0.236609,0.42083,6145.110003,6.030000002,1307,8.520578401,4.999999998,1315.000001,11.247303,1874.839999,5.719999998,506.4100001,0.41,38.23999999,0.02,0.000178571
0.181046,0.25668,2314.969999,12.69999999,1285,12.42983821,6.030000002,1307,8.520578401,2283.57,5.200000002,541.1399998,0.42,45.00000001,0.06,0.00025641
0.348463,0.31458,2482.9,0.25,1606.000001,7.547778601,6.030000002,1307,8.520578401,2135.370001,5.270000002,519.1900001,0.43,48.83,0.08,0.00025641
0.403061,0.55342,7825.879999,6.030000002,1307,8.520578401,3.350000001,1352.000001,7.438544299,1846.909999,5.820000001,518.5599998,0.41,38.17000001,0.04,0.00015625
0.233103,0.2191,1806.730001,16.97,1305,12.3458347,6.030000002,1307,8.520578401,2187.08,5.239999998,554.34,0.4,44.49999999,0.04,0.0002
0.232808,0.48131,7669.180003,6.030000002,1307,8.520578401,22.85999999,1303.999999,8.041725198,1750.95,5.989999999,505.5600001,0.38,44.94000001,0.04,0.000217391
0.072418,0.29188,2485.39,6.030000002,1307,8.520578401,24.29999999,1316,12.25486279,1670.65,5.849999999,555.4599998,0.41,38.23999999,0.01,0.000114943
0.167034,0.42604,6563.540003,6.030000002,1307,8.520578401,4.020000001,1286,5.945085001,1780.060001,5.969999998,515.78,0.39,39.94999999,0.07,0.000151515
0.1158,0.45,4221.45,6.030000002,1307,8.520578401,5.999999999,1310,9.210340498,1797.95,5.540000001,525.85,0.41,43.39000001,0.04,0.000149254
0.204393,0.22386,2764.249999,5.700000001,1174,4.995123402,6.030000002,1307,8.520578401,2180.88,4.920000002,563.8800001,0.49,60.45999998,0.18,0.000149254
0.130093,0.31591,3426.479999,6.030000002,1307,8.520578401,3.08,1332,17.5767098,1653.910001,6.139999999,552.9899999,0.41,33.81999998,1.00E-04,0.000136986
0.283118,0.53723,6298.629997,3.299999998,1294,5.179369501,1.00E-04,1245,4.845000701,1904.44,5.34,447.5900001,0.42,52.14999998,0.15,0.000263158
0.003141,0.13761,1358.03,1.980000001,1309,8.144791596,3.299999998,1294,5.179369501,1651.6,5.700000001,577.6900002,0.41,44.12999999,0.04,0.000107527
0.011684,0.23654,415.8899999,3.299999998,1294,5.179369501,3.070000001,1170,6.675704501,1538.92,5.900000001,567.64,0.38,44.70999999,1.00E-04,1.00E-04
0.183231,0.36657,4983.329999,3.299999998,1294,5.179369501,3.570000001,1344,5.836809599,1902.57,5.700000001,471.3500001,0.37,38.24999999,0.06,3.448275862
0.225462,0.41268,5108.629997,3.299999998,1294,5.179369501,2.000000001,1525,5.3280978,1923.539999,5.01,469.62,0.41,45.45000002,0.04,0.000277778
0.285793,0.48371,6078.449998,3.299999998,1294,5.179369501,2.000000001,1451,6.376057101,1920.859999,5.270000002,469.06,0.4,42.52999999,0.02,0.00027027
0.114735,0.2339,1988.949999,4.700000001,1262,9.949107205,3.299999998,1294,5.179369501,2282.35,5.109999999,518.6700001,0.39,42.15999999,0.08,0.000294118
1.00E-04,0.1102,611.1800001,3.299999998,1294,5.179369501,8.000000003,1269.999999,7.547134902,1778.089999,6.539999997,538.8400001,0.47,33.04000001,1.00E-04,0.000111111
